jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,37285,3761
Angkutan Penyeberangan,36838,410
Angkutan Laut,26005,567
Angkutan Udara,207,3
Angkutan Perkeretaapian,83211,378
