jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,69309,6553
Angkutan Penyeberangan,53810,601
Angkutan Laut,56377,915
Angkutan Udara,1482,18
Angkutan Perkeretaapian,91985,373
