jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,96,4241
Jalan Arteri,34,580108
Jalan Tol,39,349169
Angkutan Penyeberangan,31,410
Angkutan Laut,130,680
Angkutan Udara,39,495
Angkutan Perkeretaapian,377,390
