jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,84,2919
Jalan Arteri,92,565553
Jalan Tol,37,305301
Angkutan Penyeberangan,33,332
Angkutan Laut,171,477
Angkutan Udara,5,5
Angkutan Perkeretaapian,375,370
