jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,37,670
Jalan Arteri,34,46664
Jalan Tol,2,8161
Angkutan Penyeberangan,13,126
Angkutan Laut,71,120
Angkutan Perkeretaapian,322,309
