jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,99,8377
Jalan Arteri,94,1801748
Jalan Tol,42,901151
Angkutan Penyeberangan,43,854
Angkutan Laut,215,1121
Angkutan Udara,6,19
Angkutan Perkeretaapian,376,373
