jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,89604,8204
Angkutan Penyeberangan,66601,746
Angkutan Laut,68669,1084
Angkutan Udara,2892,33
Angkutan Perkeretaapian,97407,373
