jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,77,2284
Jalan Arteri,34,306210
Jalan Tol,37,202705
Angkutan Penyeberangan,4,242
Angkutan Laut,112,399
Angkutan Udara,1,5
Angkutan Perkeretaapian,374,388
