jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,103,5285
Jalan Arteri,34,703879
Jalan Tol,40,482633
Angkutan Penyeberangan,31,410
Angkutan Laut,135,824
Angkutan Udara,40,496
Angkutan Perkeretaapian,377,392
