jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,61,1689
Jalan Arteri,34,181840
Jalan Tol,39,197562
Angkutan Penyeberangan,20,244
Angkutan Laut,105,302
Angkutan Perkeretaapian,372,377
