jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,104,5721
Jalan Arteri,91,743853
Jalan Tol,42,543197
Angkutan Penyeberangan,38,528
Angkutan Laut,154,859
Angkutan Udara,7,8
Angkutan Perkeretaapian,377,379
