jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,47544,4675
Angkutan Penyeberangan,36737,410
Angkutan Laut,39800,752
Angkutan Udara,23607,496
Angkutan Perkeretaapian,116270,392
