jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,99,4520
Jalan Arteri,91,610456
Jalan Tol,39,406884
Angkutan Penyeberangan,35,453
Angkutan Laut,149,667
Angkutan Udara,3,6
Angkutan Perkeretaapian,377,378
