jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,101,9249
Jalan Arteri,94,1943948
Jalan Tol,42,996910
Angkutan Penyeberangan,46,954
Angkutan Laut,215,1148
Angkutan Udara,8,27
Angkutan Perkeretaapian,376,373
