jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,80645,7371
Angkutan Penyeberangan,61244,687
Angkutan Laut,60770,1048
Angkutan Udara,899,16
Angkutan Perkeretaapian,96926,379
