jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,30,390
Jalan Arteri,29,47841
Jalan Tol,2,6929
Angkutan Penyeberangan,12,79
Angkutan Laut,77,121
Angkutan Perkeretaapian,322,302
