jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,97,4239
Jalan Arteri,92,713561
Jalan Tol,39,387099
Angkutan Penyeberangan,39,443
Angkutan Laut,187,671
Angkutan Udara,7,12
Angkutan Perkeretaapian,376,370
