jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,36,710
Jalan Arteri,29,68831
Jalan Tol,36,99406
Angkutan Penyeberangan,13,165
Angkutan Laut,82,162
Angkutan Perkeretaapian,322,302
