jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,118058,10155
Angkutan Penyeberangan,61244,705
Angkutan Laut,69232,1133
Angkutan Udara,899,16
Angkutan Perkeretaapian,41136,379
