jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,92432,8376
Angkutan Penyeberangan,61244,705
Angkutan Laut,65010,1096
Angkutan Udara,899,16
Angkutan Perkeretaapian,26687,379
