jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,114,8747
Jalan Arteri,93,2036663
Jalan Tol,39,823532
Angkutan Penyeberangan,42,802
Angkutan Laut,208,1095
Angkutan Udara,12,33
Angkutan Perkeretaapian,377,374
