jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,107,5788
Jalan Arteri,93,1206092
Jalan Tol,39,482063
Angkutan Penyeberangan,40,531
Angkutan Laut,199,835
Angkutan Udara,7,12
Angkutan Perkeretaapian,376,372
