jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,83205,7616
Angkutan Penyeberangan,61913,696
Angkutan Laut,65230,1038
Angkutan Udara,2892,33
Angkutan Perkeretaapian,95756,373
