jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,93,3589
Jalan Arteri,92,642652
Jalan Tol,37,352497
Angkutan Penyeberangan,33,400
Angkutan Laut,181,576
Angkutan Udara,7,11
Angkutan Perkeretaapian,375,370
