jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,118162,9760
Angkutan Penyeberangan,98561,1007
Angkutan Laut,71394,1171
Angkutan Udara,2639,29
Angkutan Perkeretaapian,106667,373
