jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,21279,2214
Angkutan Penyeberangan,27269,292
Angkutan Laut,16811,389
Angkutan Udara,153,4
Angkutan Perkeretaapian,78636,370
