jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,79179,7451
Angkutan Penyeberangan,37593,414
Angkutan Laut,59077,1020
Angkutan Udara,26239,535
Angkutan Perkeretaapian,126380,392
