jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,118,10059
Jalan Arteri,93,2268465
Jalan Tol,39,957613
Angkutan Penyeberangan,47,919
Angkutan Laut,212,1133
Angkutan Udara,13,36
Angkutan Perkeretaapian,377,374
