jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,116,8016
Jalan Arteri,34,1032734
Jalan Tol,41,792502
Angkutan Penyeberangan,35,414
Angkutan Laut,143,1045
Angkutan Udara,44,550
Angkutan Perkeretaapian,377,392
