jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,21136,2284
Angkutan Penyeberangan,29454,242
Angkutan Laut,20895,399
Angkutan Udara,0,5
Angkutan Perkeretaapian,105790,388
