jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,49,1228
Jalan Arteri,34,93673
Jalan Tol,38,141060
Angkutan Penyeberangan,15,194
Angkutan Laut,89,222
Angkutan Perkeretaapian,348,377
