jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,120689,10351
Angkutan Penyeberangan,448,5
Angkutan Laut,69564,1138
Angkutan Udara,899,16
Angkutan Perkeretaapian,97128,312
