jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,98234,8861
Angkutan Penyeberangan,61244,705
Angkutan Laut,1734,34
Angkutan Udara,899,16
Angkutan Perkeretaapian,26687,379
