jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,97303,8747
Angkutan Penyeberangan,74210,802
Angkutan Laut,69623,1095
Angkutan Udara,2892,33
Angkutan Perkeretaapian,100290,374
