jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,86150,8016
Angkutan Penyeberangan,37593,414
Angkutan Laut,61323,1045
Angkutan Udara,27889,550
Angkutan Perkeretaapian,128652,392
