jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,285,21786
Jalan Arteri,90,1484044
Jalan Tol,41,713217
Angkutan Penyeberangan,3,6
Angkutan Laut,147,994
Angkutan Udara,51,1248
Angkutan Perkeretaapian,375,391
