jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,121,10202
Jalan Arteri,96,2655092
Jalan Tol,42,1116253
Angkutan Penyeberangan,35,414
Angkutan Laut,147,1116
Angkutan Udara,46,590
Angkutan Perkeretaapian,377,392
