jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,94350,8575
Angkutan Penyeberangan,37593,414
Angkutan Laut,64633,1066
Angkutan Udara,27889,550
Angkutan Perkeretaapian,132256,392
