jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,109,8376
Jalan Arteri,92,1844936
Jalan Tol,42,875773
Angkutan Penyeberangan,38,705
Angkutan Laut,159,1096
Angkutan Udara,8,16
Angkutan Perkeretaapian,355,379
