jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,116,9245
Jalan Arteri,93,2124581
Jalan Tol,39,872067
Angkutan Penyeberangan,42,835
Angkutan Laut,210,1112
Angkutan Udara,12,33
Angkutan Perkeretaapian,377,374
