jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,75,2214
Jalan Arteri,92,475121
Jalan Tol,37,226937
Angkutan Penyeberangan,25,292
Angkutan Laut,147,389
Angkutan Udara,5,4
Angkutan Perkeretaapian,373,370
