jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,33,488
Jalan Arteri,29,56680
Jalan Tol,2,8800
Angkutan Penyeberangan,13,107
Angkutan Laut,80,132
Angkutan Perkeretaapian,322,302
