jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,85017,7801
Angkutan Penyeberangan,61244,705
Angkutan Laut,63421,1075
Angkutan Udara,899,16
Angkutan Perkeretaapian,98847,379
