jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,34872,3589
Angkutan Penyeberangan,38905,400
Angkutan Laut,25902,576
Angkutan Udara,987,11
Angkutan Perkeretaapian,82482,370
