jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,116077,10015
Angkutan Penyeberangan,37593,414
Angkutan Laut,71344,1115
Angkutan Udara,31711,588
Angkutan Perkeretaapian,135872,392
