jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,100,5149
Jalan Arteri,91,675554
Jalan Tol,40,471185
Angkutan Penyeberangan,37,487
Angkutan Laut,151,780
Angkutan Udara,3,6
Angkutan Perkeretaapian,377,379
