jenis,jumlah_titik,jumlah_sarana
Angkutan Jalan,100,4845
Jalan Arteri,93,1136762
Jalan Tol,39,392985
Angkutan Penyeberangan,39,500
Angkutan Laut,196,762
Angkutan Udara,7,12
Angkutan Perkeretaapian,376,372
