jenis,jumlah_titik,jumlah_sarana
Jalan Arteri,92,1927026
Jalan Tol,42,937424
Angkutan Penyeberangan,38,705
Angkutan Laut,35,34
Angkutan Udara,8,16
Angkutan Perkeretaapian,355,379
