jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,111437,9729
Angkutan Penyeberangan,37593,414
Angkutan Laut,69395,1106
Angkutan Udara,31711,588
Angkutan Perkeretaapian,135417,392
