jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,54093,5285
Angkutan Penyeberangan,36737,410
Angkutan Laut,46598,824
Angkutan Udara,23607,496
Angkutan Perkeretaapian,118808,392
