jenis,jumlah_penumpang,jumlah_sarana
Angkutan Jalan,100661,8996
Angkutan Penyeberangan,37593,414
Angkutan Laut,67120,1086
Angkutan Udara,27889,550
Angkutan Perkeretaapian,133633,392
